Notification_ID,Title,Description,Type,Priority,Date,Time,Status,Related_ID,Created_By
NTF00225,New Prescription Added,New prescription added for patient P1366.,Prescription,Medium,2026-05-19,12:00,Read,P1256,Admin
NTF00226,New Prescription Added,New prescription added for patient P1366.,Prescription,Medium,2026-07-27,08:45,Read,P1098,Pharmacist
NTF00227,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407398.,Fraud Alert,High,2026-07-29,08:45,Unread,P1316,Pharmacist
NTF00228,Medicine Expiring Soon,Amoxicillin 250mg will expire within 26 days.,Expiry Alert,High,2026-06-05,18:00,Unread,P1236,Pharmacist
NTF00229,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407662.,Fraud Alert,Medium,2026-05-19,07:45,Unread,P1359,Pharmacist
NTF00230,Low Stock Alert,Calcium 500mg stock is running low.,Stock Alert,Medium,2026-06-21,17:00,Unread,P1463,Pharmacist
NTF00231,Low Stock Alert,Ibuprofen 400mg stock is running low.,Stock Alert,Low,2026-06-15,16:15,Unread,P1228,Admin
NTF00232,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-06-16,10:45,Unread,P1123,Admin
NTF00233,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-05-02,15:45,Read,P1251,System
NTF00234,Appointment Reminder,Patient P1066 has an appointment today.,Appointment,High,2026-05-24,15:15,Unread,P1399,System
NTF00235,Low Stock Alert,Pantoprazole 40mg stock is running low.,Stock Alert,Medium,2026-07-18,19:15,Read,P1039,Admin
NTF00236,Low Stock Alert,Amoxicillin 250mg stock is running low.,Stock Alert,Low,2026-06-02,21:30,Read,P1253,Pharmacist
NTF00237,New Prescription Added,New prescription added for patient P1500.,Prescription,Low,2026-07-02,13:45,Read,P1161,Admin
NTF00238,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-20,13:45,Read,P1487,Pharmacist
NTF00239,New Prescription Added,New prescription added for patient P1267.,Prescription,High,2026-07-06,18:00,Read,P1469,Admin
NTF00240,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-02,19:30,Unread,P1432,Admin
NTF00241,System Update,System maintenance and backup completed successfully.,System,High,2026-06-12,20:00,Read,P1499,Admin
NTF00242,Low Stock Alert,ORS Sachet stock is running low.,Stock Alert,High,2026-06-01,19:30,Read,P1073,Pharmacist
NTF00243,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407782.,Fraud Alert,Low,2026-06-12,13:00,Read,P1415,System
NTF00244,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-06,19:15,Read,P1136,Pharmacist
NTF00245,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-06-20,20:15,Unread,P1043,System
NTF00246,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-10,15:15,Unread,P1415,Pharmacist
NTF00247,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407314.,Fraud Alert,Medium,2026-06-21,14:30,Unread,P1194,Admin
NTF00248,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-08,12:30,Unread,P1147,System
NTF00249,Medicine Expiring Soon,Calcium 500mg will expire within 5 days.,Expiry Alert,Low,2026-05-24,17:30,Read,P1110,Admin
NTF00250,Appointment Reminder,Patient P1097 has an appointment today.,Appointment,Low,2026-07-29,17:30,Read,P1030,System
NTF00251,System Update,System maintenance and backup completed successfully.,System,Low,2026-05-10,15:00,Read,P1228,Pharmacist
NTF00252,Appointment Reminder,Patient P1263 has an appointment today.,Appointment,Medium,2026-07-19,15:30,Unread,P1481,System
NTF00253,New Prescription Added,New prescription added for patient P1196.,Prescription,Low,2026-07-14,09:00,Read,P1134,Pharmacist
NTF00254,System Update,System maintenance and backup completed successfully.,System,High,2026-07-06,10:30,Unread,P1500,System
NTF00255,Medicine Expiring Soon,Ibuprofen 400mg will expire within 7 days.,Expiry Alert,Medium,2026-07-10,15:15,Unread,P1006,System
NTF00256,Medicine Expiring Soon,Calcium 500mg will expire within 17 days.,Expiry Alert,Medium,2026-06-24,14:45,Read,P1375,Pharmacist
NTF00257,Medicine Expiring Soon,ORS Sachet will expire within 23 days.,Expiry Alert,Low,2026-05-31,13:00,Read,P1398,Admin
NTF00258,Appointment Reminder,Patient P1074 has an appointment today.,Appointment,Low,2026-05-15,12:00,Unread,P1216,Pharmacist
NTF00259,Appointment Reminder,Patient P1353 has an appointment today.,Appointment,High,2026-05-11,13:15,Read,P1256,System
NTF00260,Medicine Expiring Soon,Atorvastatin 10mg will expire within 19 days.,Expiry Alert,Low,2026-05-26,13:00,Unread,P1053,Pharmacist
NTF00261,Appointment Reminder,Patient P1417 has an appointment today.,Appointment,Low,2026-07-03,07:15,Read,P1199,Admin
NTF00262,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-06-10,11:45,Unread,P1153,System
NTF00263,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-21,13:00,Unread,P1368,Pharmacist
NTF00264,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407237.,Fraud Alert,Low,2026-05-05,07:45,Unread,P1408,Pharmacist
NTF00265,Medicine Expiring Soon,Rabeprazole 20mg will expire within 25 days.,Expiry Alert,Low,2026-05-30,17:00,Read,P1153,System
NTF00266,New Prescription Added,New prescription added for patient P1417.,Prescription,Low,2026-07-17,18:45,Read,P1064,Pharmacist
NTF00267,Medicine Expiring Soon,Levocetirizine 5mg will expire within 19 days.,Expiry Alert,Low,2026-07-19,10:45,Read,P1297,Admin
NTF00268,Appointment Reminder,Patient P1489 has an appointment today.,Appointment,High,2026-06-02,11:15,Read,P1492,Admin
NTF00269,Low Stock Alert,Cetirizine 10mg stock is running low.,Stock Alert,Low,2026-06-30,17:45,Read,P1400,Admin
NTF00270,Low Stock Alert,Vitamin D3 60000IU stock is running low.,Stock Alert,High,2026-07-14,09:00,Unread,P1293,Pharmacist
NTF00271,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407026.,Fraud Alert,Low,2026-05-02,15:45,Unread,P1406,Admin
NTF00272,System Update,System maintenance and backup completed successfully.,System,High,2026-07-13,20:15,Read,P1396,Admin
NTF00273,System Update,System maintenance and backup completed successfully.,System,High,2026-05-28,20:30,Read,P1350,Pharmacist
NTF00274,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-31,13:30,Unread,P1123,Admin
NTF00275,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407087.,Fraud Alert,Medium,2026-06-22,12:30,Unread,P1294,System
NTF00276,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407707.,Fraud Alert,Low,2026-06-17,08:00,Read,P1377,System
NTF00277,New Prescription Added,New prescription added for patient P1025.,Prescription,High,2026-07-12,21:15,Read,P1045,Pharmacist
NTF00278,New Prescription Added,New prescription added for patient P1189.,Prescription,Low,2026-05-11,16:45,Read,P1478,System
NTF00279,New Prescription Added,New prescription added for patient P1414.,Prescription,Low,2026-06-03,08:45,Unread,P1042,Admin
NTF00280,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-07,07:30,Unread,P1257,Admin
NTF00281,Medicine Expiring Soon,Rabeprazole 20mg will expire within 11 days.,Expiry Alert,High,2026-07-15,11:45,Read,P1169,System
NTF00282,Appointment Reminder,Patient P1130 has an appointment today.,Appointment,Low,2026-07-02,19:30,Read,P1123,Admin
NTF00283,Appointment Reminder,Patient P1287 has an appointment today.,Appointment,Medium,2026-07-17,19:45,Unread,P1235,Admin
NTF00284,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407684.,Fraud Alert,Medium,2026-07-24,07:45,Unread,P1115,Admin
NTF00285,New Prescription Added,New prescription added for patient P1483.,Prescription,Low,2026-05-17,19:45,Read,P1432,System
NTF00286,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-07-01,07:15,Read,P1091,Admin
NTF00287,System Update,System maintenance and backup completed successfully.,System,Medium,2026-06-04,12:45,Unread,P1445,Admin
NTF00288,Medicine Expiring Soon,Paracetamol 500mg will expire within 11 days.,Expiry Alert,Low,2026-06-26,21:00,Unread,P1359,Admin
NTF00289,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-17,15:00,Unread,P1199,System
NTF00290,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407350.,Fraud Alert,Medium,2026-07-11,14:00,Unread,P1305,Pharmacist
NTF00291,New Prescription Added,New prescription added for patient P1419.,Prescription,Low,2026-06-23,19:45,Unread,P1426,System
NTF00292,Medicine Expiring Soon,Ibuprofen 400mg will expire within 3 days.,Expiry Alert,Medium,2026-05-19,14:45,Unread,P1452,Admin
NTF00293,New Prescription Added,New prescription added for patient P1149.,Prescription,Low,2026-06-17,13:30,Unread,P1077,Pharmacist
NTF00294,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-12,09:45,Read,P1152,Pharmacist
NTF00295,New Prescription Added,New prescription added for patient P1138.,Prescription,Low,2026-07-28,19:15,Read,P1312,Pharmacist
NTF00296,New Prescription Added,New prescription added for patient P1490.,Prescription,Low,2026-06-13,15:30,Unread,P1006,Admin
NTF00297,Appointment Reminder,Patient P1371 has an appointment today.,Appointment,Low,2026-05-16,09:45,Read,P1112,Pharmacist
NTF00298,Low Stock Alert,ORS Sachet stock is running low.,Stock Alert,Low,2026-06-01,07:45,Unread,P1456,Admin
NTF00299,Appointment Reminder,Patient P1306 has an appointment today.,Appointment,Medium,2026-06-02,07:15,Unread,P1074,Admin
NTF00300,Low Stock Alert,Cough Syrup 100ml stock is running low.,Stock Alert,Medium,2026-05-17,09:45,Read,P1344,System
NTF00301,Medicine Expiring Soon,Dolo 650mg will expire within 26 days.,Expiry Alert,High,2026-06-16,08:15,Unread,P1089,System
NTF00302,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-06-09,15:15,Unread,P1104,System
NTF00303,Low Stock Alert,Azithromycin 500mg stock is running low.,Stock Alert,Low,2026-07-01,07:15,Read,P1316,Pharmacist
NTF00304,Low Stock Alert,Amlodipine 5mg stock is running low.,Stock Alert,Medium,2026-06-13,07:45,Read,P1428,Admin
NTF00305,System Update,System maintenance and backup completed successfully.,System,Medium,2026-05-02,10:00,Unread,P1314,Admin
NTF00306,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-07-07,12:45,Unread,P1166,System
NTF00307,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-20,09:30,Read,P1247,Pharmacist
NTF00308,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407050.,Fraud Alert,High,2026-06-13,20:30,Unread,P1272,Pharmacist
NTF00309,New Prescription Added,New prescription added for patient P1148.,Prescription,Low,2026-05-31,19:30,Read,P1055,System
NTF00310,System Update,System maintenance and backup completed successfully.,System,Low,2026-05-26,19:00,Unread,P1086,Admin
NTF00311,New Prescription Added,New prescription added for patient P1494.,Prescription,Medium,2026-07-13,15:00,Unread,P1127,Admin
NTF00312,Appointment Reminder,Patient P1390 has an appointment today.,Appointment,Medium,2026-07-15,12:30,Read,P1246,Pharmacist
NTF00313,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407995.,Fraud Alert,Medium,2026-05-22,15:45,Unread,P1015,Pharmacist
NTF00314,Low Stock Alert,Amoxicillin 250mg stock is running low.,Stock Alert,High,2026-05-17,09:15,Read,P1128,System
NTF00315,Appointment Reminder,Patient P1018 has an appointment today.,Appointment,High,2026-05-13,18:30,Unread,P1494,Admin
NTF00316,Low Stock Alert,Rabeprazole 20mg stock is running low.,Stock Alert,Low,2026-05-08,09:45,Unread,P1082,Pharmacist
NTF00317,Appointment Reminder,Patient P1104 has an appointment today.,Appointment,Low,2026-07-22,11:15,Unread,P1291,Admin
NTF00318,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407419.,Fraud Alert,High,2026-05-19,20:00,Unread,P1469,Pharmacist
NTF00319,System Update,System maintenance and backup completed successfully.,System,Medium,2026-06-22,11:00,Unread,P1005,System
NTF00320,Low Stock Alert,Metformin 500mg stock is running low.,Stock Alert,Low,2026-05-21,15:00,Unread,P1003,System
NTF00321,New Prescription Added,New prescription added for patient P1041.,Prescription,Low,2026-07-26,09:45,Unread,P1174,Pharmacist
NTF00322,Medicine Expiring Soon,Omeprazole 20mg will expire within 2 days.,Expiry Alert,High,2026-05-05,09:00,Read,P1371,Admin
NTF00323,New Prescription Added,New prescription added for patient P1153.,Prescription,Medium,2026-06-27,08:45,Unread,P1272,Admin
NTF00324,System Update,System maintenance and backup completed successfully.,System,High,2026-05-08,20:00,Read,P1445,Admin
NTF00325,Appointment Reminder,Patient P1213 has an appointment today.,Appointment,High,2026-06-02,12:00,Read,P1183,System
NTF00326,Appointment Reminder,Patient P1349 has an appointment today.,Appointment,Low,2026-05-19,14:30,Unread,P1088,System
NTF00327,Low Stock Alert,Vitamin D3 60000IU stock is running low.,Stock Alert,High,2026-05-31,15:30,Unread,P1377,Pharmacist
NTF00328,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407194.,Fraud Alert,High,2026-07-30,16:30,Unread,P1073,System
NTF00329,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-04,13:00,Unread,P1026,System
NTF00330,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407266.,Fraud Alert,Medium,2026-06-04,16:15,Read,P1069,Admin
NTF00331,Appointment Reminder,Patient P1039 has an appointment today.,Appointment,Medium,2026-05-08,15:30,Read,P1318,Pharmacist
NTF00332,Appointment Reminder,Patient P1004 has an appointment today.,Appointment,High,2026-06-15,07:00,Unread,P1255,Pharmacist
NTF00333,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407999.,Fraud Alert,Medium,2026-05-07,09:00,Read,P1180,System
NTF00334,System Update,System maintenance and backup completed successfully.,System,High,2026-07-26,08:15,Unread,P1065,System
NTF00335,Low Stock Alert,Omeprazole 20mg stock is running low.,Stock Alert,Low,2026-06-04,20:00,Unread,P1295,Pharmacist
NTF00336,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407203.,Fraud Alert,Medium,2026-05-18,12:15,Read,P1176,Pharmacist
NTF00337,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-06-20,19:00,Read,P1220,System
NTF00338,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407619.,Fraud Alert,Low,2026-06-05,08:30,Read,P1499,System
NTF00339,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407478.,Fraud Alert,Medium,2026-06-03,11:00,Unread,P1469,System
NTF00340,New Prescription Added,New prescription added for patient P1288.,Prescription,Medium,2026-07-01,16:45,Read,P1198,System
NTF00341,New Prescription Added,New prescription added for patient P1308.,Prescription,High,2026-05-26,21:15,Read,P1092,Admin
NTF00342,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-01,18:45,Read,P1389,Pharmacist
NTF00343,Appointment Reminder,Patient P1363 has an appointment today.,Appointment,Medium,2026-05-31,09:30,Unread,P1098,Pharmacist
NTF00344,New Prescription Added,New prescription added for patient P1102.,Prescription,Low,2026-06-18,20:30,Unread,P1266,Admin
NTF00345,Low Stock Alert,Salbutamol 4mg stock is running low.,Stock Alert,Medium,2026-06-15,14:00,Unread,P1463,Admin
NTF00346,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407729.,Fraud Alert,Medium,2026-07-03,21:00,Read,P1315,Pharmacist
NTF00347,Medicine Expiring Soon,Pantoprazole 40mg will expire within 10 days.,Expiry Alert,Low,2026-05-10,07:30,Read,P1151,Admin
NTF00348,System Update,System maintenance and backup completed successfully.,System,Medium,2026-07-25,17:00,Read,P1291,Admin
NTF00349,Medicine Expiring Soon,Salbutamol 4mg will expire within 4 days.,Expiry Alert,Medium,2026-05-03,12:45,Read,P1245,Admin
NTF00350,Low Stock Alert,Atorvastatin 10mg stock is running low.,Stock Alert,High,2026-06-10,13:15,Read,P1188,Admin
NTF00351,System Update,System maintenance and backup completed successfully.,System,High,2026-07-27,10:45,Read,P1028,Pharmacist
NTF00352,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407087.,Fraud Alert,Low,2026-06-27,21:00,Read,P1348,Admin
NTF00353,Low Stock Alert,Dolo 650mg stock is running low.,Stock Alert,High,2026-07-18,18:00,Unread,P1095,System
NTF00354,Appointment Reminder,Patient P1160 has an appointment today.,Appointment,High,2026-06-28,14:30,Unread,P1293,System
NTF00355,Medicine Expiring Soon,Cetirizine 10mg will expire within 18 days.,Expiry Alert,Medium,2026-07-15,21:15,Read,P1169,Pharmacist
NTF00356,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-27,14:30,Read,P1081,Pharmacist
NTF00357,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-30,20:30,Unread,P1351,Admin
NTF00358,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-05-31,19:00,Unread,P1128,Pharmacist
NTF00359,Medicine Expiring Soon,Metformin 500mg will expire within 7 days.,Expiry Alert,Medium,2026-07-11,18:30,Unread,P1374,System
NTF00360,Appointment Reminder,Patient P1167 has an appointment today.,Appointment,High,2026-07-26,18:15,Read,P1310,Pharmacist
NTF00361,Medicine Expiring Soon,Rabeprazole 20mg will expire within 3 days.,Expiry Alert,Low,2026-05-11,07:45,Unread,P1432,Admin
NTF00362,Appointment Reminder,Patient P1035 has an appointment today.,Appointment,Low,2026-06-22,11:15,Unread,P1258,Admin
NTF00363,Low Stock Alert,Montelukast 10mg stock is running low.,Stock Alert,Medium,2026-06-28,17:00,Unread,P1091,Pharmacist
NTF00364,Low Stock Alert,Ibuprofen 400mg stock is running low.,Stock Alert,Medium,2026-05-13,14:15,Read,P1377,Admin
NTF00365,Appointment Reminder,Patient P1487 has an appointment today.,Appointment,Medium,2026-06-27,16:15,Read,P1157,System
NTF00366,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-06-10,16:00,Unread,P1164,System
NTF00367,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-17,20:15,Unread,P1090,Pharmacist
NTF00368,Appointment Reminder,Patient P1286 has an appointment today.,Appointment,Low,2026-07-03,12:45,Read,P1128,Pharmacist
NTF00369,Medicine Expiring Soon,Pantoprazole 40mg will expire within 9 days.,Expiry Alert,High,2026-05-31,10:30,Unread,P1128,Pharmacist
NTF00370,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407696.,Fraud Alert,High,2026-07-25,09:15,Unread,P1159,System
NTF00371,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407184.,Fraud Alert,High,2026-06-24,19:45,Unread,P1012,Pharmacist
NTF00372,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-14,10:45,Read,P1029,System
NTF00373,Low Stock Alert,Levocetirizine 5mg stock is running low.,Stock Alert,High,2026-06-20,21:00,Unread,P1025,System
NTF00374,Low Stock Alert,Omeprazole 20mg stock is running low.,Stock Alert,Medium,2026-07-19,20:00,Unread,P1363,System
NTF00375,New Prescription Added,New prescription added for patient P1485.,Prescription,Medium,2026-06-20,15:45,Read,P1412,Pharmacist
NTF00376,New Prescription Added,New prescription added for patient P1325.,Prescription,Low,2026-07-25,11:15,Read,P1459,Pharmacist
NTF00377,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407704.,Fraud Alert,Low,2026-06-23,12:45,Unread,P1037,System
NTF00378,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-11,12:30,Read,P1068,Admin
NTF00379,Low Stock Alert,Calcium 500mg stock is running low.,Stock Alert,High,2026-05-30,19:00,Read,P1433,System
NTF00380,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407751.,Fraud Alert,Medium,2026-07-29,12:15,Unread,P1313,Admin
NTF00381,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407998.,Fraud Alert,High,2026-05-14,18:45,Read,P1171,Pharmacist
NTF00382,Appointment Reminder,Patient P1440 has an appointment today.,Appointment,Medium,2026-06-16,14:00,Unread,P1222,System
NTF00383,Low Stock Alert,Calcium 500mg stock is running low.,Stock Alert,Low,2026-05-09,09:30,Unread,P1126,System
NTF00384,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407803.,Fraud Alert,Medium,2026-07-16,18:45,Read,P1433,System
NTF00385,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-24,17:30,Unread,P1122,Admin
NTF00386,Low Stock Alert,Paracetamol 500mg stock is running low.,Stock Alert,High,2026-06-03,13:00,Unread,P1022,Admin
NTF00387,Low Stock Alert,Amoxicillin 250mg stock is running low.,Stock Alert,Medium,2026-05-15,15:45,Unread,P1342,Pharmacist
NTF00388,Appointment Reminder,Patient P1305 has an appointment today.,Appointment,Medium,2026-06-03,21:00,Unread,P1098,Pharmacist
NTF00389,Low Stock Alert,ORS Sachet stock is running low.,Stock Alert,High,2026-05-28,07:00,Read,P1023,System
NTF00390,New Prescription Added,New prescription added for patient P1392.,Prescription,Medium,2026-07-19,20:00,Read,P1308,System
NTF00391,Appointment Reminder,Patient P1426 has an appointment today.,Appointment,Low,2026-05-25,15:00,Read,P1020,Admin
NTF00392,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407998.,Fraud Alert,Medium,2026-05-08,08:45,Read,P1285,Pharmacist
NTF00393,Medicine Expiring Soon,ORS Sachet will expire within 18 days.,Expiry Alert,Medium,2026-05-02,15:30,Read,P1271,Pharmacist
NTF00394,New Prescription Added,New prescription added for patient P1478.,Prescription,Medium,2026-05-16,07:30,Read,P1339,Pharmacist
NTF00395,Appointment Reminder,Patient P1172 has an appointment today.,Appointment,Medium,2026-05-21,15:15,Unread,P1246,System
NTF00396,System Update,System maintenance and backup completed successfully.,System,High,2026-07-30,14:15,Unread,P1081,System
NTF00397,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-05-22,08:30,Unread,P1080,Pharmacist
NTF00398,Low Stock Alert,Dolo 650mg stock is running low.,Stock Alert,High,2026-06-16,13:30,Read,P1239,Pharmacist
NTF00399,Low Stock Alert,Paracetamol 500mg stock is running low.,Stock Alert,Low,2026-07-03,07:45,Unread,P1488,Pharmacist
NTF00400,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407613.,Fraud Alert,Low,2026-05-12,16:30,Read,P1329,Admin
NTF00401,New Prescription Added,New prescription added for patient P1146.,Prescription,Low,2026-05-22,10:45,Unread,P1457,System
NTF00402,New Prescription Added,New prescription added for patient P1199.,Prescription,Medium,2026-06-28,16:00,Unread,P1195,Pharmacist
NTF00403,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-08,14:30,Read,P1445,Pharmacist
NTF00404,New Prescription Added,New prescription added for patient P1391.,Prescription,Medium,2026-07-19,08:45,Unread,P1182,Admin
NTF00405,Medicine Expiring Soon,Levocetirizine 5mg will expire within 23 days.,Expiry Alert,Low,2026-06-15,20:45,Read,P1156,System
NTF00406,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407092.,Fraud Alert,Low,2026-07-25,21:45,Read,P1302,System
NTF00407,Medicine Expiring Soon,Amoxicillin 250mg will expire within 6 days.,Expiry Alert,Medium,2026-05-25,20:30,Unread,P1170,System
NTF00408,Low Stock Alert,Cough Syrup 100ml stock is running low.,Stock Alert,Low,2026-05-31,14:15,Read,P1347,System
NTF00409,Medicine Expiring Soon,Vitamin D3 60000IU will expire within 17 days.,Expiry Alert,Low,2026-05-21,14:00,Read,P1430,Admin
NTF00410,Medicine Expiring Soon,Levocetirizine 5mg will expire within 11 days.,Expiry Alert,Low,2026-05-31,17:15,Read,P1437,System
NTF00411,Low Stock Alert,Amlodipine 5mg stock is running low.,Stock Alert,Low,2026-07-24,09:30,Unread,P1173,Admin
NTF00412,Medicine Expiring Soon,Amoxicillin 250mg will expire within 12 days.,Expiry Alert,Medium,2026-05-17,07:00,Read,P1291,Admin
NTF00413,Appointment Reminder,Patient P1324 has an appointment today.,Appointment,Medium,2026-07-01,15:45,Read,P1159,Admin
NTF00414,Medicine Expiring Soon,Vitamin D3 60000IU will expire within 8 days.,Expiry Alert,High,2026-07-06,19:30,Read,P1270,System
NTF00415,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407688.,Fraud Alert,High,2026-07-28,07:00,Unread,P1115,Admin
NTF00416,Low Stock Alert,Salbutamol 4mg stock is running low.,Stock Alert,Medium,2026-05-13,21:15,Read,P1252,Pharmacist
NTF00417,Daily Sales Report,Daily sales and inventory report is now available.,Report,Medium,2026-07-18,14:45,Unread,P1139,Admin
NTF00418,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407397.,Fraud Alert,High,2026-05-27,16:45,Read,P1184,System
NTF00419,System Update,System maintenance and backup completed successfully.,System,Low,2026-06-13,09:15,Unread,P1080,Admin
NTF00420,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407336.,Fraud Alert,Low,2026-06-10,07:00,Read,P1066,System
NTF00421,Medicine Expiring Soon,Omeprazole 20mg will expire within 9 days.,Expiry Alert,Medium,2026-07-27,12:45,Unread,P1232,System
NTF00422,Low Stock Alert,Levocetirizine 5mg stock is running low.,Stock Alert,High,2026-05-08,12:00,Unread,P1053,Pharmacist
NTF00423,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407645.,Fraud Alert,High,2026-05-28,21:00,Unread,P1036,Admin
NTF00424,Appointment Reminder,Patient P1221 has an appointment today.,Appointment,High,2026-05-02,15:00,Read,P1112,Pharmacist
NTF00425,Low Stock Alert,Cough Syrup 100ml stock is running low.,Stock Alert,Low,2026-05-22,11:30,Unread,P1326,Pharmacist
NTF00426,Medicine Expiring Soon,Rabeprazole 20mg will expire within 19 days.,Expiry Alert,Medium,2026-07-07,13:00,Unread,P1072,Admin
NTF00427,Appointment Reminder,Patient P1314 has an appointment today.,Appointment,Medium,2026-05-22,19:30,Unread,P1156,System
NTF00428,Medicine Expiring Soon,Omeprazole 20mg will expire within 7 days.,Expiry Alert,Medium,2026-05-04,15:15,Unread,P1275,Pharmacist
NTF00429,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407403.,Fraud Alert,High,2026-07-22,10:45,Read,P1237,System
NTF00430,New Prescription Added,New prescription added for patient P1188.,Prescription,High,2026-07-03,08:00,Read,P1357,System
NTF00431,Appointment Reminder,Patient P1348 has an appointment today.,Appointment,Medium,2026-05-12,16:00,Unread,P1404,System
NTF00432,System Update,System maintenance and backup completed successfully.,System,High,2026-05-07,16:45,Read,P1197,System
NTF00433,Medicine Expiring Soon,Amlodipine 5mg will expire within 16 days.,Expiry Alert,High,2026-05-28,16:00,Read,P1418,Pharmacist
NTF00434,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407819.,Fraud Alert,Low,2026-07-15,18:30,Unread,P1490,Pharmacist
NTF00435,Daily Sales Report,Daily sales and inventory report is now available.,Report,Low,2026-07-13,21:30,Unread,P1210,Pharmacist
NTF00436,System Update,System maintenance and backup completed successfully.,System,Low,2026-07-04,11:00,Read,P1113,Admin
NTF00437,Medicine Expiring Soon,Amlodipine 5mg will expire within 4 days.,Expiry Alert,High,2026-07-23,15:00,Read,P1484,Pharmacist
NTF00438,Daily Sales Report,Daily sales and inventory report is now available.,Report,High,2026-06-22,07:30,Read,P1358,Pharmacist
NTF00439,Low Stock Alert,Metformin 500mg stock is running low.,Stock Alert,Medium,2026-05-11,08:45,Read,P1159,Admin
NTF00440,Appointment Reminder,Patient P1020 has an appointment today.,Appointment,Low,2026-06-15,13:00,Unread,P1406,System
NTF00441,High Risk Fraud Alert,Suspicious claim detected for Claim ID CLM2407925.,Fraud Alert,Medium,2026-06-03,08:30,Unread,P1270,System
NTF00442,Medicine Expiring Soon,Paracetamol 500mg will expire within 8 days.,Expiry Alert,High,2026-06-28,19:30,Unread,P1140,Admin
