Record_ID,Date,Total_Sales_INR,Medicines_Sold,New_Patients,Stock_Alerts,Prescriptions,Consultations,Active_Patients,Low_Stock_Items,Out_Of_Stock_Items,Top_Selling_Medicine
DASH0318,2026-06-14,41666,208,51,25,88,53,1331,11,7,Ibuprofen 400mg
DASH0319,2026-06-15,26879,235,20,14,67,68,1335,17,12,Montelukast 10mg
DASH0320,2026-06-16,46850,251,75,28,42,34,1028,24,11,Azithromycin 500mg
DASH0321,2026-06-17,49392,240,42,14,65,33,1452,27,10,Cough Syrup 100ml
DASH0322,2026-06-18,55740,204,61,14,60,67,1102,16,1,Rabeprazole 20mg
DASH0323,2026-06-19,31094,172,90,2,84,75,1425,11,7,Atorvastatin 10mg
DASH0324,2026-06-20,63405,115,72,23,88,23,1348,14,3,Amlodipine 5mg
DASH0325,2026-06-21,61166,158,74,27,73,19,1159,24,7,Rabeprazole 20mg
DASH0326,2026-06-22,44267,339,73,19,29,65,1068,27,12,Losartan 50mg
DASH0327,2026-06-23,56916,123,33,26,56,57,1380,16,2,Salbutamol 4mg
DASH0328,2026-06-24,20903,284,62,27,80,21,710,8,4,Pantoprazole 40mg
DASH0329,2026-06-25,51467,345,48,16,72,40,1174,29,10,Rabeprazole 20mg
DASH0330,2026-06-26,63248,336,39,13,28,45,807,14,6,Cetirizine 10mg
DASH0331,2026-06-27,25606,152,64,11,68,44,911,21,7,Levocetirizine 5mg
DASH0332,2026-06-28,49205,129,76,25,82,35,768,14,0,Ibuprofen 400mg
DASH0333,2026-06-29,19480,255,33,23,46,74,1458,12,8,Metformin 500mg
DASH0334,2026-06-30,54169,161,62,19,79,44,937,30,6,Metformin 500mg
DASH0335,2026-07-01,30215,301,70,2,50,43,1306,18,6,Paracetamol 500mg
DASH0336,2026-07-02,64185,189,46,10,33,51,804,30,8,Metformin 500mg
DASH0337,2026-07-03,41972,246,45,16,39,31,1386,32,7,Calcium 500mg
DASH0338,2026-07-04,59884,240,69,21,75,52,816,16,5,Dolo 650mg
DASH0339,2026-07-05,58459,168,58,21,100,20,1388,9,5,Ibuprofen 400mg
DASH0340,2026-07-06,33635,236,34,7,72,59,844,21,6,ORS Sachet
DASH0341,2026-07-07,57087,150,69,15,48,46,1350,22,11,Metformin 500mg
DASH0342,2026-07-08,54366,165,82,11,42,26,1022,31,7,Salbutamol 4mg
DASH0343,2026-07-09,21513,263,21,17,42,27,1093,35,8,Calcium 500mg
DASH0344,2026-07-10,60799,333,72,23,87,41,1427,31,7,Cough Syrup 100ml
DASH0345,2026-07-11,28961,122,23,27,53,33,733,13,3,Losartan 50mg
DASH0346,2026-07-12,36918,166,78,20,88,50,1223,8,9,Ibuprofen 400mg
DASH0347,2026-07-13,35556,267,89,28,30,63,1436,19,8,Azithromycin 500mg
DASH0348,2026-07-14,45862,132,51,11,29,43,969,16,1,Dolo 650mg
DASH0349,2026-07-15,25693,201,46,27,100,59,1059,32,11,Salbutamol 4mg
DASH0350,2026-07-16,59469,299,41,21,42,65,911,31,3,Amoxicillin 250mg
DASH0351,2026-07-17,55360,259,88,10,93,25,1031,27,4,Atorvastatin 10mg
DASH0352,2026-07-18,55534,216,85,30,37,23,1468,30,6,Amoxicillin 250mg
DASH0353,2026-07-19,36174,144,36,9,43,60,1029,31,3,Vitamin D3 60000IU
DASH0354,2026-07-20,50077,152,54,22,78,39,1162,7,10,Cetirizine 10mg
DASH0355,2026-07-21,44401,343,55,24,72,44,1199,15,9,Paracetamol 500mg
DASH0356,2026-07-22,24104,314,65,29,33,65,1247,17,3,ORS Sachet
DASH0357,2026-07-23,31883,333,54,12,61,36,1260,23,2,Rabeprazole 20mg
DASH0358,2026-07-24,49807,255,26,3,37,55,1170,5,1,Metformin 500mg
DASH0359,2026-07-25,46920,313,20,15,50,59,835,33,10,Atorvastatin 10mg
DASH0360,2026-07-26,28418,220,31,22,71,31,784,16,10,Metformin 500mg
DASH0361,2026-07-27,21393,282,59,25,54,42,1371,7,11,Ibuprofen 400mg
DASH0362,2026-07-28,18071,189,81,4,41,52,931,21,10,Dolo 650mg
DASH0363,2026-07-29,18608,84,63,28,40,70,1132,27,2,Cough Syrup 100ml
DASH0364,2026-07-30,22641,197,69,4,38,21,1020,16,4,Omeprazole 20mg
DASH0365,2026-07-31,43082,148,38,4,92,51,708,24,10,Metformin 500mg
DASH0366,2026-08-01,46842,259,47,22,44,73,1121,24,10,Dolo 650mg
DASH0367,2026-08-02,32237,124,32,6,40,52,1447,17,5,ORS Sachet
DASH0368,2026-08-03,38611,151,51,10,35,30,1266,24,9,Salbutamol 4mg
DASH0369,2026-08-04,36672,93,58,8,91,53,1221,11,11,Vitamin D3 60000IU
DASH0370,2026-08-05,37368,107,50,17,74,22,946,20,10,Salbutamol 4mg
DASH0371,2026-08-06,22653,350,21,13,65,23,1096,32,9,ORS Sachet
DASH0372,2026-08-07,41947,168,80,26,34,16,1301,7,0,Amlodipine 5mg
DASH0373,2026-08-08,32138,100,27,27,75,47,993,25,11,Calcium 500mg
DASH0374,2026-08-09,45225,296,71,4,93,49,1330,9,4,Cetirizine 10mg
DASH0375,2026-08-10,38310,120,85,8,44,49,1034,17,9,Cetirizine 10mg
DASH0376,2026-08-11,38327,303,50,3,56,20,1144,8,7,Salbutamol 4mg
DASH0377,2026-08-12,57900,108,59,23,47,22,712,27,2,Paracetamol 500mg
DASH0378,2026-08-13,28736,334,64,18,91,65,1438,13,2,Levocetirizine 5mg
DASH0379,2026-08-14,26318,217,35,26,28,36,1139,13,8,Cetirizine 10mg
DASH0380,2026-08-15,35232,119,83,16,90,38,756,20,9,Metformin 500mg
DASH0381,2026-08-16,42096,160,52,26,38,72,1287,26,11,Ibuprofen 400mg
DASH0382,2026-08-17,32968,340,20,3,26,30,747,20,5,Vitamin D3 60000IU
DASH0383,2026-08-18,27835,171,24,19,78,29,1029,12,6,Montelukast 10mg
DASH0384,2026-08-19,35777,119,67,5,89,58,753,10,3,Calcium 500mg
DASH0385,2026-08-20,21009,285,28,30,84,70,989,29,4,Montelukast 10mg
DASH0386,2026-08-21,23661,313,21,13,50,33,1277,30,4,Salbutamol 4mg
DASH0387,2026-08-22,33897,317,67,20,88,64,1494,11,11,Losartan 50mg
DASH0388,2026-08-23,34064,157,20,15,28,29,1254,16,10,Paracetamol 500mg
DASH0389,2026-08-24,39955,80,68,29,64,21,910,21,3,ORS Sachet
DASH0390,2026-08-25,50245,110,38,24,60,20,744,34,3,Calcium 500mg
DASH0391,2026-08-26,45070,270,78,25,35,52,797,21,2,Vitamin D3 60000IU
DASH0392,2026-08-27,22904,111,75,23,41,30,998,13,5,Vitamin D3 60000IU
DASH0393,2026-08-28,63922,247,60,16,59,29,776,35,3,Omeprazole 20mg
DASH0394,2026-08-29,56319,135,39,5,46,43,1177,15,6,Ibuprofen 400mg
DASH0395,2026-08-30,53122,263,46,16,64,44,971,32,1,Cetirizine 10mg
DASH0396,2026-08-31,28329,235,25,8,66,24,793,27,3,Levocetirizine 5mg
DASH0397,2026-09-01,43968,342,26,23,63,31,878,5,6,Dolo 650mg
DASH0398,2026-09-02,54434,207,32,16,38,66,843,8,0,Amoxicillin 250mg
DASH0399,2026-09-03,32567,146,45,28,76,38,1402,25,10,Cetirizine 10mg
DASH0400,2026-09-04,56163,212,29,2,33,27,1361,19,12,Omeprazole 20mg
DASH0401,2026-09-05,24027,249,35,3,84,18,872,34,9,ORS Sachet
DASH0402,2026-09-06,43886,334,23,14,79,26,1062,11,2,Amlodipine 5mg
DASH0403,2026-09-07,36340,308,39,3,56,56,1002,20,6,Losartan 50mg
DASH0404,2026-09-08,49393,111,31,10,74,23,1129,11,10,Calcium 500mg
DASH0405,2026-09-09,34328,89,68,27,70,45,1257,30,7,Levocetirizine 5mg
DASH0406,2026-09-10,55070,337,61,14,59,26,726,15,9,Pantoprazole 40mg
DASH0407,2026-09-11,19920,223,27,27,85,48,1066,29,9,Pantoprazole 40mg
DASH0408,2026-09-12,28461,131,51,23,55,32,1246,31,12,Amoxicillin 250mg
DASH0409,2026-09-13,32379,278,65,28,47,26,942,23,5,Levocetirizine 5mg
DASH0410,2026-09-14,56768,94,65,20,97,24,1276,35,3,Cough Syrup 100ml
DASH0411,2026-09-15,53528,238,42,17,29,20,757,12,9,Pantoprazole 40mg
DASH0412,2026-09-16,19306,349,81,2,67,73,1328,11,12,Omeprazole 20mg
DASH0413,2026-09-17,40331,170,61,3,27,24,1300,27,2,Ibuprofen 400mg
DASH0414,2026-09-18,52491,266,29,13,75,52,803,15,4,Montelukast 10mg
DASH0415,2026-09-19,26942,160,75,27,87,56,1024,10,11,Losartan 50mg
DASH0416,2026-09-20,63453,262,48,23,100,67,879,17,4,Atorvastatin 10mg
DASH0417,2026-09-21,26345,170,20,24,98,40,1489,35,9,Amoxicillin 250mg
DASH0418,2026-09-22,29932,242,48,22,97,21,1208,9,5,Cetirizine 10mg
DASH0419,2026-09-23,33597,257,60,7,36,67,1425,26,10,Montelukast 10mg
DASH0420,2026-09-24,47270,85,53,8,56,59,769,16,4,Ibuprofen 400mg
DASH0421,2026-09-25,18083,104,69,16,78,25,1123,20,6,Levocetirizine 5mg
DASH0422,2026-09-26,53784,272,32,28,86,65,1291,25,12,Pantoprazole 40mg
DASH0423,2026-09-27,28659,311,29,27,29,33,720,15,4,Ibuprofen 400mg
DASH0424,2026-09-28,22862,255,41,30,73,25,1449,7,8,Cetirizine 10mg
DASH0425,2026-09-29,40147,327,23,15,46,53,1144,10,0,Ibuprofen 400mg
DASH0426,2026-09-30,39698,185,44,15,95,61,1447,22,4,Atorvastatin 10mg
DASH0427,2026-10-01,37490,201,32,3,75,51,1262,31,7,Omeprazole 20mg
DASH0428,2026-10-02,21572,264,20,15,36,33,1377,25,9,Cough Syrup 100ml
DASH0429,2026-10-03,31085,129,23,8,46,55,998,7,7,Ibuprofen 400mg
DASH0430,2026-10-04,38208,283,80,17,58,20,1357,22,6,Metformin 500mg
DASH0431,2026-10-05,42315,275,67,7,82,17,969,19,7,Amlodipine 5mg
DASH0432,2026-10-06,32827,217,27,6,37,20,1384,16,12,Losartan 50mg
DASH0433,2026-10-07,45131,196,90,3,74,67,1235,18,8,Cough Syrup 100ml
DASH0434,2026-10-08,55533,200,80,11,35,40,1431,6,8,Rabeprazole 20mg
DASH0435,2026-10-09,51870,155,35,26,82,26,871,11,12,Azithromycin 500mg
DASH0436,2026-10-10,26269,101,74,4,80,27,1342,9,9,Amlodipine 5mg
DASH0437,2026-10-11,38955,114,31,14,96,40,1265,15,4,Calcium 500mg
DASH0438,2026-10-12,48025,86,86,27,78,22,1124,9,2,Rabeprazole 20mg
DASH0439,2026-10-13,56530,131,33,20,37,65,992,32,8,Levocetirizine 5mg
DASH0440,2026-10-14,44928,215,69,22,87,51,1323,20,0,Metformin 500mg
DASH0441,2026-10-15,36049,286,38,21,76,17,1105,33,5,Pantoprazole 40mg
DASH0442,2026-10-16,21230,323,54,30,72,16,1045,31,12,Atorvastatin 10mg
DASH0443,2026-10-17,38378,223,82,29,37,70,933,9,4,Dolo 650mg
DASH0444,2026-10-18,39028,217,73,21,36,27,1152,11,6,Cough Syrup 100ml
DASH0445,2026-10-19,51849,271,27,18,45,19,1018,27,8,Vitamin D3 60000IU
DASH0446,2026-10-20,26889,348,23,7,49,71,905,31,0,Pantoprazole 40mg
DASH0447,2026-10-21,20167,313,26,13,50,32,1077,31,7,Calcium 500mg
DASH0448,2026-10-22,44014,143,23,9,72,46,1308,19,2,Cough Syrup 100ml
DASH0449,2026-10-23,56461,259,64,7,58,62,1405,7,4,Paracetamol 500mg
DASH0450,2026-10-24,43333,105,40,29,98,64,919,32,3,Pantoprazole 40mg
DASH0451,2026-10-25,62413,185,54,22,77,47,720,32,12,Paracetamol 500mg
DASH0452,2026-10-26,49070,147,42,21,26,29,958,24,12,Atorvastatin 10mg
DASH0453,2026-10-27,64710,220,74,30,73,69,1057,19,4,Azithromycin 500mg
DASH0454,2026-10-28,48585,234,86,28,75,52,804,5,8,Levocetirizine 5mg
DASH0455,2026-10-29,54795,224,58,23,38,45,765,15,4,Montelukast 10mg
DASH0456,2026-10-30,36145,213,58,8,44,48,1483,12,0,Salbutamol 4mg
DASH0457,2026-10-31,44482,243,37,25,28,56,1209,14,4,ORS Sachet
DASH0458,2026-11-01,44515,278,24,20,98,67,894,15,11,Pantoprazole 40mg
DASH0459,2026-11-02,62978,323,65,18,63,69,874,31,10,Losartan 50mg
DASH0460,2026-11-03,29870,230,32,17,41,62,964,28,12,Losartan 50mg
DASH0461,2026-11-04,29997,251,31,9,70,29,1462,32,4,ORS Sachet
DASH0462,2026-11-05,39713,270,53,20,62,44,820,20,0,Rabeprazole 20mg
DASH0463,2026-11-06,56031,116,80,30,49,47,822,32,10,Vitamin D3 60000IU
DASH0464,2026-11-07,52723,232,72,3,44,23,905,15,6,Rabeprazole 20mg
DASH0465,2026-11-08,47987,153,60,29,48,64,782,20,5,Metformin 500mg
DASH0466,2026-11-09,38539,109,20,16,60,28,1479,29,2,Rabeprazole 20mg
DASH0467,2026-11-10,28383,330,31,6,80,55,1139,17,6,Cough Syrup 100ml
DASH0468,2026-11-11,43121,82,24,19,50,61,1082,35,0,Montelukast 10mg
DASH0469,2026-11-12,52801,177,22,23,25,55,1451,12,3,Levocetirizine 5mg
DASH0470,2026-11-13,38453,146,33,14,89,52,1013,10,1,Amoxicillin 250mg
DASH0471,2026-11-14,37542,228,78,25,91,53,1236,15,6,Omeprazole 20mg
DASH0472,2026-11-15,40461,330,65,26,49,25,1113,5,3,Pantoprazole 40mg
DASH0473,2026-11-16,26598,188,22,20,89,25,826,16,11,Amoxicillin 250mg
DASH0474,2026-11-17,42588,210,88,21,31,53,749,26,1,Paracetamol 500mg
DASH0475,2026-11-18,21161,139,73,16,73,22,1260,13,7,Omeprazole 20mg
DASH0476,2026-11-19,31467,84,58,15,37,57,1232,13,9,Salbutamol 4mg
DASH0477,2026-11-20,63922,150,73,28,38,47,1436,24,1,Atorvastatin 10mg
DASH0478,2026-11-21,25471,134,83,8,50,64,969,31,8,Azithromycin 500mg
DASH0479,2026-11-22,41456,289,57,7,30,50,1208,34,3,Cough Syrup 100ml
DASH0480,2026-11-23,39666,200,20,2,36,73,813,31,9,Cough Syrup 100ml
DASH0481,2026-11-24,27774,126,85,4,37,72,962,25,3,Dolo 650mg
DASH0482,2026-11-25,37400,215,79,3,37,67,878,32,0,Atorvastatin 10mg
DASH0483,2026-11-26,41607,240,74,25,39,21,1476,33,0,Paracetamol 500mg
DASH0484,2026-11-27,27069,167,62,13,81,54,974,33,11,Cetirizine 10mg
DASH0485,2026-11-28,42420,255,43,5,76,40,1167,13,6,Cough Syrup 100ml
DASH0486,2026-11-29,45639,165,34,6,32,75,863,8,6,Rabeprazole 20mg
DASH0487,2026-11-30,49632,304,43,21,73,64,1067,24,0,Omeprazole 20mg
DASH0488,2026-12-01,49659,329,34,30,77,43,747,7,4,Montelukast 10mg
DASH0489,2026-12-02,18810,348,48,23,68,48,1235,27,11,Salbutamol 4mg
DASH0490,2026-12-03,24241,301,51,17,69,57,1392,25,6,Omeprazole 20mg
DASH0491,2026-12-04,54591,107,21,22,45,47,1180,32,7,Metformin 500mg
DASH0492,2026-12-05,22906,331,61,9,67,32,751,21,3,Losartan 50mg
DASH0493,2026-12-06,60160,273,71,28,55,20,1170,19,12,Rabeprazole 20mg
DASH0494,2026-12-07,47366,125,83,16,65,22,1209,28,10,Paracetamol 500mg
DASH0495,2026-12-08,24726,286,72,3,96,50,700,31,1,Salbutamol 4mg
DASH0496,2026-12-09,58571,235,85,19,51,56,1387,19,5,Levocetirizine 5mg
DASH0497,2026-12-10,21556,194,78,12,96,64,1334,24,7,Levocetirizine 5mg
DASH0498,2026-12-11,64918,311,34,5,53,15,1049,16,10,Atorvastatin 10mg
DASH0499,2026-12-12,53893,347,67,24,38,17,868,20,2,ORS Sachet
DASH0500,2026-12-13,25009,210,45,8,40,74,1102,11,7,Azithromycin 500mg
